year,species,total_biomC
230,QUERvelu,19.2
240,QUERvelu,19.24
250,QUERvelu,21.03
260,QUERvelu,20.04
270,QUERvelu,21.75
280,QUERvelu,21.96
290,QUERvelu,20.19
300,QUERvelu,17.39
310,QUERvelu,16.59
320,QUERvelu,17.34
330,QUERvelu,17.26
340,QUERvelu,17.19
350,QUERvelu,17.77
360,QUERvelu,18.95
370,QUERvelu,19.55
380,QUERvelu,17.23
390,QUERvelu,15.6
400,QUERvelu,14.28
410,QUERvelu,11.69
420,QUERvelu,10.45
430,QUERvelu,11.07
440,QUERvelu,11.95
450,QUERvelu,13.58
460,QUERvelu,12.94
470,QUERvelu,12.51
480,QUERvelu,12.28
490,QUERvelu,14
500,QUERvelu,14.42
